pool,task,task_type,anchor_scheme,K_high,K_low,delta_CF_endpoint,positive_seed_deltas,negative_seed_deltas,seed_11,seed_23,seed_37,seed_53,seed_71
Classical multiview,bace,classification,fixed_morgan_rf,32,4,-0.012085468484779796,2,3,0.00948157829225782,-0.030922350033026458,-0.01955096337874266,0.00025022824575245584,-0.01968583555014014
Classical multiview,bace,classification,shared_morgan_linear,32,4,-0.012085468484779796,2,3,0.00948157829225782,-0.030922350033026458,-0.01955096337874266,0.00025022824575245584,-0.01968583555014014
Classical multiview,bbbp,classification,fixed_morgan_rf,32,4,-0.012719429401563218,0,5,-0.010857972814199757,-0.0019338303576030096,-0.009937938915345926,-0.01602665079754025,-0.024840754123127144
Classical multiview,bbbp,classification,shared_morgan_linear,32,4,-0.012719429401563218,0,5,-0.010857972814199757,-0.0019338303576030096,-0.009937938915345926,-0.01602665079754025,-0.024840754123127144
Classical multiview,clintox,classification,fixed_morgan_rf,32,4,-0.00928712166445099,1,4,0.01426312796081534,-0.0012785094055197304,-0.01577574003655365,-0.03123807309276098,-0.012406413748235921
Classical multiview,clintox,classification,shared_morgan_linear,32,4,-0.00928712166445099,1,4,0.01426312796081534,-0.0012785094055197304,-0.01577574003655365,-0.03123807309276098,-0.012406413748235921
Classical multiview,esol,regression,fixed_morgan_rf,32,4,0.02756121354314119,4,1,0.05635118048355018,0.06400659547134464,-0.03941824519180089,0.030900826612118498,0.025965710340493515
Classical multiview,esol,regression,shared_morgan_linear,32,4,0.02756121354314119,4,1,0.05635118048355018,0.06400659547134464,-0.03941824519180089,0.030900826612118498,0.025965710340493515
Classical multiview,lipo,regression,fixed_morgan_rf,32,4,0.0075925816928374525,2,0,0.02127141228863812,0.01669149617554914,0.0,0.0,0.0
Classical multiview,lipo,regression,shared_morgan_linear,32,4,0.0075925816928374525,2,0,0.02127141228863812,0.01669149617554914,0.0,0.0,0.0
Classical multiview,tdc_caco2_wang,regression,fixed_morgan_rf,32,4,0.02091719233029125,5,0,0.004373333332930977,0.019832451122441974,0.026834590252400037,0.01947015276130724,0.03407543418237602
Classical multiview,tdc_caco2_wang,regression,shared_morgan_linear,32,4,0.02091719233029125,5,0,0.004373333332930977,0.019832451122441974,0.026834590252400037,0.01947015276130724,0.03407543418237602
Homogeneous Morgan,bace,classification,fixed_morgan_rf,32,4,0.000882797117778944,4,1,0.006471404899732636,0.0030024783497278884,0.002875920126507873,0.0016654255578839223,-0.0096012433449576
Homogeneous Morgan,bace,classification,shared_morgan_linear,32,4,0.000882797117778944,4,1,0.006471404899732636,0.0030024783497278884,0.002875920126507873,0.0016654255578839223,-0.0096012433449576
Homogeneous Morgan,bbbp,classification,fixed_morgan_rf,32,4,-0.0005106486570254808,1,3,0.0,-0.0018616500097981363,-0.002258814425106818,0.0019972259276085,-0.00043000477783095015
Homogeneous Morgan,bbbp,classification,shared_morgan_linear,32,4,-0.0005106486570254808,1,3,0.0,-0.0018616500097981363,-0.002258814425106818,0.0019972259276085,-0.00043000477783095015
Homogeneous Morgan,clintox,classification,fixed_morgan_rf,32,4,0.00919655886979327,5,0,0.011753923669775013,0.013189464112668895,0.013332641149489325,0.006652071346894606,0.0010546940701385104
Homogeneous Morgan,clintox,classification,shared_morgan_linear,32,4,0.00919655886979327,5,0,0.011753923669775013,0.013189464112668895,0.013332641149489325,0.006652071346894606,0.0010546940701385104
Homogeneous Morgan,esol,regression,fixed_morgan_rf,32,4,0.0578418123024859,5,0,0.0578418123024859,0.0578418123024859,0.0578418123024859,0.0578418123024859,0.0578418123024859
Homogeneous Morgan,esol,regression,shared_morgan_linear,32,4,0.0578418123024859,5,0,0.0578418123024859,0.0578418123024859,0.0578418123024859,0.0578418123024859,0.0578418123024859
Homogeneous Morgan,lipo,regression,fixed_morgan_rf,32,4,0.007228323361789743,5,0,0.008523011817143841,0.00690782850725576,0.0034522548519304586,0.00869491776126611,0.00856360387135254
Homogeneous Morgan,lipo,regression,shared_morgan_linear,32,4,0.007228323361789743,5,0,0.008523011817143841,0.00690782850725576,0.0034522548519304586,0.00869491776126611,0.00856360387135254
Homogeneous Morgan,tdc_caco2_wang,regression,fixed_morgan_rf,32,4,0.014929033993434695,5,0,0.017843634086437337,0.01314836293041662,0.018553859092480085,0.006366155366739938,0.018733158491099505
Homogeneous Morgan,tdc_caco2_wang,regression,shared_morgan_linear,32,4,0.014929033993434695,5,0,0.017843634086437337,0.01314836293041662,0.018553859092480085,0.006366155366739938,0.018733158491099505
Modern-augmented,bace,classification,fixed_morgan_rf,32,4,-0.008241671448610965,3,1,0.0,0.005373827835121044,0.008823620531999995,0.0016812354312354023,-0.05708704104141127
Modern-augmented,bace,classification,shared_morgan_linear,32,4,-0.008241671448610965,3,1,0.0,0.005373827835121044,0.008823620531999995,0.0016812354312354023,-0.05708704104141127
Modern-augmented,bbbp,classification,fixed_morgan_rf,32,4,-0.006395696357411581,1,4,-0.01404919568042388,-0.006257026541264292,0.0004654100214135739,-0.0022530266041960547,-0.009884642982587252
Modern-augmented,bbbp,classification,shared_morgan_linear,32,4,-0.006395696357411581,1,4,-0.01404919568042388,-0.006257026541264292,0.0004654100214135739,-0.0022530266041960547,-0.009884642982587252
Modern-augmented,clintox,classification,fixed_morgan_rf,32,4,0.004768010451661064,2,0,0.0,0.0,0.0,0.020146198830409356,0.0036938534278959656
Modern-augmented,clintox,classification,shared_morgan_linear,32,4,0.004768010451661064,2,0,0.0,0.0,0.0,0.020146198830409356,0.0036938534278959656
Modern-augmented,esol,regression,fixed_morgan_rf,32,4,-0.04858284567397866,2,3,0.199358640250743,-0.10716294400770421,-0.1000120386200974,0.010533210525392578,-0.2456310965182273
Modern-augmented,esol,regression,shared_morgan_linear,32,4,-0.04858284567397866,2,3,0.199358640250743,-0.10716294400770421,-0.1000120386200974,0.010533210525392578,-0.2456310965182273
Modern-augmented,lipo,regression,fixed_morgan_rf,32,4,-0.037798151465111236,0,3,0.0,0.0,-0.06488405141541013,-0.09871804521769656,-0.025388660692449456
Modern-augmented,lipo,regression,shared_morgan_linear,32,4,-0.037798151465111236,0,3,0.0,0.0,-0.06488405141541013,-0.09871804521769656,-0.025388660692449456
Modern-augmented,tdc_caco2_wang,regression,fixed_morgan_rf,32,4,0.00886203033788974,5,0,0.002673243533390398,0.013290377244109955,0.002673243533390398,0.002673243533390398,0.023000043845167555
Modern-augmented,tdc_caco2_wang,regression,shared_morgan_linear,32,4,0.00886203033788974,5,0,0.002673243533390398,0.013290377244109955,0.002673243533390398,0.002673243533390398,0.023000043845167555
