design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high,homogeneous_normalized_oracle_opportunity_mean,homogeneous_normalized_oracle_opportunity_n_seed_blocks,homogeneous_normalized_oracle_opportunity_n_outer_units,homogeneous_normalized_oracle_opportunity_low,homogeneous_normalized_oracle_opportunity_high,homogeneous_normalized_selected_gain_mean,homogeneous_normalized_selected_gain_n_seed_blocks,homogeneous_normalized_selected_gain_n_outer_units,homogeneous_normalized_selected_gain_low,homogeneous_normalized_selected_gain_high,homogeneous_normalized_cross_fitted_gap_mean,homogeneous_normalized_cross_fitted_gap_n_seed_blocks,homogeneous_normalized_cross_fitted_gap_n_outer_units,homogeneous_normalized_cross_fitted_gap_low,homogeneous_normalized_cross_fitted_gap_high
equal_budget_from_K16,Classical multiview,bace,classification,16,shared_morgan_linear,0.08257810643473161,5,15,0.07651129610577502,0.08899511745616362,0.07637570711807921,5,15,0.0684657303135296,0.08582742325039219,0.006202399316652407,5,15,0.0023941397560514575,0.009709950106457203,0.07044681268145145,5,15,0.027259245149387434,0.11363438021351546,0.5025641025641026,5,15,0.1705128205128205,0.8346153846153846,0.3865217666545739,5,15,0.1190241782236928,0.7075215166701785,0.0027044106600765247,5,15,0.00022725098717823284,0.00629307590063497,11.126193526678252,5,15,10.70319978004942,11.572733153495937,0.006865251804546715,5,15,0.0060085362104278705,0.007804961273518096,24.714906496368176,5,15,21.594789937738803,28.133801004466683,0.9148704452366065,5,15,0.8582309522659521,0.9715099382072608,1.0565838782582355,5,15,1.0411747565767873,1.072433405243165,0.964869845757874,5,15,0.8965705494978945,1.0331691420178535,0.0443035275575615,5,15,0.002238842957335018,0.10024573126207079
equal_budget_from_K16,Classical multiview,bbbp,classification,16,shared_morgan_linear,0.1210318994305561,5,15,0.11444959117938265,0.12508161064942466,0.11484473694152741,5,15,0.10709353293830963,0.12129654749229077,0.00618716248902867,5,15,0.0035635417380659963,0.009238119435341873,0.05241781169006764,5,15,0.02751451486526892,0.07994099835273466,1.0,5,15,1.0,1.0,0.41863187660056533,5,15,0.2895089201451874,0.5334875899666838,0.003932505602916862,5,15,0.0007707914821813765,0.008121700173123903,11.294375160212319,5,15,11.146139126934576,11.449596046834873,0.010153965420054475,5,15,0.009531483935983341,0.010682557490692239,36.55427551219611,5,15,34.535476684425056,38.409039215048224,0.9475821883094678,5,15,0.9194711130161777,0.9724854851345162,1.2388972818391764,5,15,1.1828752148464399,1.3073105843110013,1.1710390737844112,5,15,1.1163593647611065,1.2566625128413609,0.044247987145901634,5,15,0.0073850518603277866,0.09760919348664791
equal_budget_from_K16,Classical multiview,clintox,classification,16,shared_morgan_linear,0.18364190098355843,5,15,0.17055376777221126,0.19623524512270868,0.17602339254329571,5,15,0.16206989090814902,0.18853492747513814,0.007618508440262728,5,15,0.0015717509624319614,0.014105237009994508,0.038036768799772344,5,15,0.00904161893847412,0.06703191866107056,0.8333333333333334,5,15,0.6666666666666667,1.0,0.7730777080945499,5,15,0.5846038457438778,0.9571982707322213,0.004768010451661064,5,15,0.0,0.012826489983824806,11.15521353991935,5,15,10.955660780034181,11.373070906490709,0.01582252703762988,5,15,0.014577922094419238,0.017067131980840523,56.96109733546757,5,15,52.48051953990927,61.44167513102589,0.9597062391081185,5,15,0.928454097154763,0.9909583810614737,1.7170230956711205,5,15,1.57793631823537,1.8470181749318406,1.6494111350398566,5,15,1.5164033334140288,1.7824129218565965,0.04126292484935119,5,15,0.0,0.11109695500265156
equal_budget_from_K16,Classical multiview,esol,regression,16,shared_morgan_linear,2.2435799731699544,5,15,2.2250072796385463,2.262263223082029,2.1907526338180223,5,15,2.1907526338180223,2.1907526338180223,0.0528273393519319,5,15,0.0342546458205243,0.07151058926400652,0.022997741242981366,5,15,0.014243672171057353,0.031751810314905385,-0.1604895104895105,5,15,-0.24941724941724938,0.0064102564102563875,-0.02602077083596046,5,15,-0.0398211460754068,-0.011875353519516926,0.010533210525392578,5,15,0.010533210525392578,0.010533210525392578,6.050508846621957,5,15,5.970925706628863,6.123904193328535,0.36205580014710653,5,15,0.35714595954208816,0.3674779254706279,1303.4008805295837,5,15,1285.7254543515173,1322.9205316942603,0.9770022587570082,5,15,0.9682481896850799,0.9857563278289364,1.7356569227708547,5,15,1.7139858910079067,1.7573279545338025,1.69466572003815,5,15,1.6900216747453514,1.6994184549989098,0.012467420700670164,5,15,0.012421305162052473,0.012518496648080423
equal_budget_from_K16,Classical multiview,lipo,regression,16,shared_morgan_linear,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,14.933918806708727,5,15,14.44401181329352,15.42521687341699,0.024727640575414992,5,15,0.023849276667002574,0.02561678676488576,89.01950607149398,5,15,85.85739600120927,92.22043235358873,1.0,5,15,1.0,1.0,3.2246030654058115,5,15,3.0772014584226812,3.4009248837734973,3.2246030654058115,5,15,3.0772014584226812,3.4009248837734973,0.0,5,15,0.0,0.0
equal_budget_from_K16,Classical multiview,tdc_caco2_wang,regression,16,shared_morgan_linear,0.8355765245043132,5,15,0.8338347178481404,0.8382810744534333,0.809841324712704,5,15,0.8017106045879931,0.8160301115172034,0.025735199791609237,5,15,0.017864730525160084,0.03651034567121708,0.029277275005398694,5,15,0.01968093428397546,0.04248979679895444,0.6692307692307693,5,15,0.5846153846153846,0.8346153846153846,0.4863018903939559,5,15,0.26169220261870996,0.6399729262452742,0.00886203033788974,5,15,0.002673243533390398,0.016992750462600605,5.620797866691523,5,15,5.473373660026116,5.809661900077478,0.14479521348690244,5,15,0.1397691466931089,0.14921870001302018,521.2627685528488,5,15,503.16892809519203,537.1873200468726,0.970722724994568,5,15,0.9575102032009959,0.9803190657160028,1.1546126139722253,5,15,1.1515266775224764,1.1576985504219743,1.1219223896143862,5,15,1.1088160231078015,1.133700149076475,0.012079505880035426,5,15,0.0027886630843712737,0.024270712852675538
equal_budget_from_K16,Homogeneous Morgan,bace,classification,16,shared_morgan_linear,0.07827834806244494,5,15,0.07336313148340715,0.08415886614305676,0.07250568089025208,5,15,0.0675035029128564,0.07973608367266058,0.005772667172192854,5,15,0.0037074032879706787,0.00822552411229848,0.07375560658650343,5,15,0.04655191915974819,0.09740385269766841,0.23272727272727273,5,15,-0.10484848484848483,0.656969696969697,0.0398592747920195,5,15,-0.06847569789846249,0.19771664921741872,0.0016665266177938807,5,15,-0.000738961886485227,0.0042037064056359204,8.997790526668537,5,15,8.179499566834417,9.594914446631444,0.008421008276263532,5,15,0.007314061655712478,0.009669017083935636,30.315629794548716,5,15,26.33062196056492,34.808461502168285,0.926244393412496,5,15,0.9026772554255489,0.9542419702174125,1.0,5,15,1.0,1.0,0.926244393412496,5,15,0.9025961473011463,0.9534480808397185,0.022291548738330023,5,15,-0.006493182871053188,0.051076280347713235
equal_budget_from_K16,Homogeneous Morgan,bbbp,classification,16,shared_morgan_linear,0.09900282949903141,5,15,0.09332464731366724,0.10468101168439556,0.09573490910046992,5,15,0.08960716157759921,0.10171262344202141,0.003267920398561497,5,15,0.0023912037719452236,0.003971412960307955,0.03607856936031839,5,15,0.027669315932245413,0.04381195997774999,0.31757575757575757,5,15,0.1478787878787879,0.4890909090909091,0.254395688928897,5,15,0.04520784605146081,0.4635835318063332,-0.0005106486570254808,5,15,-0.0017341867295281716,0.0008260055546054726,9.04208848000659,5,15,8.082551980026375,9.98194305996876,0.011578648131064058,5,15,0.009689228206836436,0.013468068055291679,41.683133271830606,5,15,34.881221544611165,48.48504499905005,0.96373669352881,5,15,0.9560033029112798,0.9732269778039487,1.0,5,15,1.0,1.0,0.96373669352881,5,15,0.9560033029112798,0.9732269778039487,-0.006517250844134794,5,15,-0.018795604692557723,0.007274517109873936
equal_budget_from_K16,Homogeneous Morgan,clintox,classification,16,shared_morgan_linear,0.11282449372969394,5,15,0.0979773180242851,0.12149463085811933,0.08937924010433261,5,15,0.07160014096441178,0.10238587288827601,0.02344525362536133,5,15,0.01879758715342168,0.027781749280879342,0.2506432181549695,5,15,0.16763266430302265,0.33365377200691626,0.06787878787878789,5,15,-0.09878787878787879,0.15454545454545454,0.10904539085515123,5,15,-0.007435167674601928,0.22084072175355143,0.006060145898143958,5,15,-0.0029200749776348085,0.013952806178738082,10.188318580063058,5,15,9.798082346779603,10.823402493485869,0.008947108895710201,5,15,0.007317874873681044,0.010098267062521777,32.20959202455673,5,15,26.34434954525176,36.353761425078396,0.7493567818420426,5,15,0.6663462279886792,0.832367335695406,1.0,5,15,1.0,1.0,0.7493567818420426,5,15,0.6663462279886792,0.832367335695406,0.08007162851491176,5,15,-0.024204636329800595,0.18434789335962412
equal_budget_from_K16,Homogeneous Morgan,esol,regression,16,shared_morgan_linear,1.4114361579531955,5,15,1.4073003589634987,1.415442151789454,1.2911429467991298,5,15,1.2793405584615418,1.3043880351708874,0.12029321115406584,5,15,0.10606829521602727,0.13298555054615202,0.10869982961388099,5,15,0.09494875447524614,0.12131138723195126,0.046666666666666634,5,15,-0.21333333333333337,0.30666666666666664,0.03149038047162691,5,15,-0.03239048833649317,0.09537124927974698,0.0913751037933876,5,15,0.07813001542162981,0.10317749213097549,3.2503775332588676,5,15,3.0577126130849717,3.4546126667177277,0.3998728624216653,5,15,0.37583809189881956,0.42208208277535986,1439.542304717995,5,15,1352.8846143771866,1519.4954979912955,0.891300170386016,5,15,0.8786886127679325,0.9059526941567541,1.0,5,15,1.0,1.0,0.891300170386016,5,15,0.8777871641358438,0.9059526941567541,0.08876212246888525,5,15,0.07589579337750038,0.100227007273997
equal_budget_from_K16,Homogeneous Morgan,lipo,regression,16,shared_morgan_linear,0.1215005689204196,5,15,0.11728072781984104,0.12494332395422476,0.11099359211213411,5,15,0.10373710660222257,0.11825007762204562,0.010506976808285525,5,15,0.006571741430603906,0.014369560648962384,0.06179657292641446,5,15,0.038952562741918384,0.08412487179149272,1.0,5,15,1.0,1.0,0.7273835608996879,5,15,0.7113728268600132,0.7555077581588577,0.007235331935029033,5,15,0.0020449752090275553,0.012425688661030509,13.123861633474004,5,15,12.125449120206756,14.35105128008872,0.008534675923649471,5,15,0.008087744968003008,0.008952586256591849,30.7248333251381,5,15,29.059125018952898,32.22931052373066,0.938203427073222,5,15,0.9158751282080149,0.9610474372578508,1.0,5,15,1.0,1.0,0.938203427073222,5,15,0.9158751282080146,0.9610474372578508,0.039344301175468666,5,15,0.011195508787974588,0.06749309356296275
equal_budget_from_K16,Homogeneous Morgan,tdc_caco2_wang,regression,16,shared_morgan_linear,0.7279017865472355,5,15,0.7258361142595556,0.7297008927381888,0.6978300947343268,5,15,0.6936443350270641,0.7022235831100836,0.03007169181290877,5,15,0.025418251494624365,0.034687762722695824,0.040209963170440254,5,15,0.03317953918297856,0.04724038715790196,0.3933333333333333,5,15,0.1333333333333333,0.74,0.1360672852200077,5,15,0.0017213352485446337,0.3488634249558287,0.022759906718171914,5,15,0.018293394849172688,0.028037453509967065,3.0995249267201848,5,15,2.9173283534667744,3.282759406658198,0.22605830386095552,5,15,0.21303997284541634,0.23907663487649464,813.8098938994398,5,15,766.9439022434988,860.6758855553808,0.9597900368295053,5,15,0.9527596128420329,0.9668204608169775,1.0,5,15,1.0,1.0,0.9597900368295053,5,15,0.9527596128420328,0.9668204608169775,0.02974599163201619,5,15,0.02340124645941839,0.037771810371322066
equal_budget_from_K16,Modern-augmented,bace,classification,16,shared_morgan_linear,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,,0,0,,,,0,0,,,0.0,5,15,0.0,0.0,0.4495279266654203,5,15,0.4422487266284102,0.4568035266905401,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,,0,0,,,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0
equal_budget_from_K16,Modern-augmented,bbbp,classification,16,shared_morgan_linear,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,,0,0,,,,0,0,,,0.0,5,15,0.0,0.0,0.55294987335025,5,15,0.5458219000448781,0.5600778466556219,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,,0,0,,,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0
