pool,task,task_type,candidate_count,frequency_level,selected_value,selected_count,selected_proportion,n_outer_units
Classical multiview,bace,classification,4,candidate,rdkit2d__linear,10,0.6666666666666666,15
Classical multiview,bace,classification,4,candidate,multiview__linear,4,0.2666666666666666,15
Classical multiview,bace,classification,4,candidate,maccs__linear,1,0.0666666666666666,15
Classical multiview,bace,classification,4,learner_family,linear,15,1.0,15
Classical multiview,bace,classification,4,representation,rdkit2d,10,0.6666666666666666,15
Classical multiview,bace,classification,4,representation,multiview,4,0.2666666666666666,15
Classical multiview,bace,classification,4,representation,maccs,1,0.0666666666666666,15
Classical multiview,bace,classification,8,candidate,multiview__random_forest,10,0.6666666666666666,15
Classical multiview,bace,classification,8,candidate,morgan512__random_forest,3,0.2,15
Classical multiview,bace,classification,8,candidate,rdkit2d__random_forest,2,0.1333333333333333,15
Classical multiview,bace,classification,8,learner_family,random_forest,15,1.0,15
Classical multiview,bace,classification,8,representation,multiview,10,0.6666666666666666,15
Classical multiview,bace,classification,8,representation,morgan512,3,0.2,15
Classical multiview,bace,classification,8,representation,rdkit2d,2,0.1333333333333333,15
Classical multiview,bace,classification,16,candidate,multiview__extra_trees,10,0.6666666666666666,15
Classical multiview,bace,classification,16,candidate,multiview__random_forest,3,0.2,15
Classical multiview,bace,classification,16,candidate,morgan512__extra_trees,1,0.0666666666666666,15
Classical multiview,bace,classification,16,candidate,rdkit2d__extra_trees,1,0.0666666666666666,15
Classical multiview,bace,classification,16,learner_family,extra_trees,12,0.8,15
Classical multiview,bace,classification,16,learner_family,random_forest,3,0.2,15
Classical multiview,bace,classification,16,representation,multiview,13,0.8666666666666667,15
Classical multiview,bace,classification,16,representation,morgan512,1,0.0666666666666666,15
Classical multiview,bace,classification,16,representation,rdkit2d,1,0.0666666666666666,15
Classical multiview,bace,classification,32,candidate,multiview__extra_trees,9,0.6,15
Classical multiview,bace,classification,32,candidate,multiview__random_forest_alt,2,0.1333333333333333,15
Classical multiview,bace,classification,32,candidate,multiview__random_forest,2,0.1333333333333333,15
Classical multiview,bace,classification,32,candidate,rdkit2d__random_forest_alt,1,0.0666666666666666,15
Classical multiview,bace,classification,32,candidate,morgan512__extra_trees,1,0.0666666666666666,15
Classical multiview,bace,classification,32,learner_family,extra_trees,10,0.6666666666666666,15
Classical multiview,bace,classification,32,learner_family,random_forest_alt,3,0.2,15
Classical multiview,bace,classification,32,learner_family,random_forest,2,0.1333333333333333,15
Classical multiview,bace,classification,32,representation,multiview,13,0.8666666666666667,15
Classical multiview,bace,classification,32,representation,rdkit2d,1,0.0666666666666666,15
Classical multiview,bace,classification,32,representation,morgan512,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,4,candidate,hom::order01,14,0.9333333333333332,15
Homogeneous Morgan,bace,classification,4,candidate,hom::order02,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,bace,classification,4,representation,morgan512,15,1.0,15
Homogeneous Morgan,bace,classification,8,candidate,hom::order07,8,0.5333333333333333,15
Homogeneous Morgan,bace,classification,8,candidate,hom::order06,5,0.3333333333333333,15
Homogeneous Morgan,bace,classification,8,candidate,hom::order05,2,0.1333333333333333,15
Homogeneous Morgan,bace,classification,8,learner_family,bagging,15,1.0,15
Homogeneous Morgan,bace,classification,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order11,5,0.3333333333333333,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order12,3,0.2,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order06,2,0.1333333333333333,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order07,2,0.1333333333333333,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order08,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order09,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,16,candidate,hom::order10,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,16,learner_family,bagging,15,1.0,15
Homogeneous Morgan,bace,classification,16,representation,morgan512,15,1.0,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order11,5,0.3333333333333333,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order12,3,0.2,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order06,2,0.1333333333333333,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order07,2,0.1333333333333333,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order23,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order09,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,32,candidate,hom::order10,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,32,learner_family,bagging,14,0.9333333333333332,15
Homogeneous Morgan,bace,classification,32,learner_family,boosting,1,0.0666666666666666,15
Homogeneous Morgan,bace,classification,32,representation,morgan512,15,1.0,15
Modern-augmented,bace,classification,4,candidate,chemberta_mtr__linear,12,0.8,15
Modern-augmented,bace,classification,4,candidate,morgan512__linear,3,0.2,15
Modern-augmented,bace,classification,4,learner_family,linear,15,1.0,15
Modern-augmented,bace,classification,4,representation,chemberta_mtr,12,0.8,15
Modern-augmented,bace,classification,4,representation,morgan512,3,0.2,15
Modern-augmented,bace,classification,8,candidate,molformer__linear,7,0.4666666666666667,15
Modern-augmented,bace,classification,8,candidate,rdkit2d__linear,5,0.3333333333333333,15
Modern-augmented,bace,classification,8,candidate,chemberta_mtr__linear,2,0.1333333333333333,15
Modern-augmented,bace,classification,8,candidate,chemberta_mlm__linear,1,0.0666666666666666,15
Modern-augmented,bace,classification,8,learner_family,linear,15,1.0,15
Modern-augmented,bace,classification,8,representation,molformer,7,0.4666666666666667,15
Modern-augmented,bace,classification,8,representation,rdkit2d,5,0.3333333333333333,15
Modern-augmented,bace,classification,8,representation,chemberta_mtr,2,0.1333333333333333,15
Modern-augmented,bace,classification,8,representation,chemberta_mlm,1,0.0666666666666666,15
Modern-augmented,bace,classification,16,candidate,multiview__random_forest,10,0.6666666666666666,15
Modern-augmented,bace,classification,16,candidate,morgan512__random_forest,3,0.2,15
Modern-augmented,bace,classification,16,candidate,rdkit2d__random_forest,2,0.1333333333333333,15
Modern-augmented,bace,classification,16,learner_family,random_forest,15,1.0,15
Modern-augmented,bace,classification,16,representation,multiview,10,0.6666666666666666,15
Modern-augmented,bace,classification,16,representation,morgan512,3,0.2,15
Modern-augmented,bace,classification,16,representation,rdkit2d,2,0.1333333333333333,15
Modern-augmented,bace,classification,32,candidate,multiview__extra_trees,10,0.6666666666666666,15
Modern-augmented,bace,classification,32,candidate,multiview__random_forest,3,0.2,15
Modern-augmented,bace,classification,32,candidate,morgan512__extra_trees,1,0.0666666666666666,15
Modern-augmented,bace,classification,32,candidate,rdkit2d__extra_trees,1,0.0666666666666666,15
Modern-augmented,bace,classification,32,learner_family,extra_trees,12,0.8,15
Modern-augmented,bace,classification,32,learner_family,random_forest,3,0.2,15
Modern-augmented,bace,classification,32,representation,multiview,13,0.8666666666666667,15
Modern-augmented,bace,classification,32,representation,morgan512,1,0.0666666666666666,15
Modern-augmented,bace,classification,32,representation,rdkit2d,1,0.0666666666666666,15
Classical multiview,bbbp,classification,4,candidate,rdkit2d__linear,7,0.4666666666666667,15
Classical multiview,bbbp,classification,4,candidate,multiview__linear,6,0.4,15
Classical multiview,bbbp,classification,4,candidate,maccs__linear,2,0.1333333333333333,15
Classical multiview,bbbp,classification,4,learner_family,linear,15,1.0,15
Classical multiview,bbbp,classification,4,representation,rdkit2d,7,0.4666666666666667,15
Classical multiview,bbbp,classification,4,representation,multiview,6,0.4,15
Classical multiview,bbbp,classification,4,representation,maccs,2,0.1333333333333333,15
Classical multiview,bbbp,classification,8,candidate,multiview__random_forest,12,0.8,15
Classical multiview,bbbp,classification,8,candidate,rdkit2d__random_forest,3,0.2,15
Classical multiview,bbbp,classification,8,learner_family,random_forest,15,1.0,15
Classical multiview,bbbp,classification,8,representation,multiview,12,0.8,15
Classical multiview,bbbp,classification,8,representation,rdkit2d,3,0.2,15
Classical multiview,bbbp,classification,16,candidate,multiview__extra_trees,9,0.6,15
Classical multiview,bbbp,classification,16,candidate,rdkit2d__extra_trees,5,0.3333333333333333,15
Classical multiview,bbbp,classification,16,candidate,multiview__random_forest,1,0.0666666666666666,15
Classical multiview,bbbp,classification,16,learner_family,extra_trees,14,0.9333333333333332,15
Classical multiview,bbbp,classification,16,learner_family,random_forest,1,0.0666666666666666,15
Classical multiview,bbbp,classification,16,representation,multiview,10,0.6666666666666666,15
Classical multiview,bbbp,classification,16,representation,rdkit2d,5,0.3333333333333333,15
Classical multiview,bbbp,classification,32,candidate,multiview__extra_trees,9,0.6,15
Classical multiview,bbbp,classification,32,candidate,rdkit2d__extra_trees,4,0.2666666666666666,15
Classical multiview,bbbp,classification,32,candidate,multiview__random_forest,1,0.0666666666666666,15
Classical multiview,bbbp,classification,32,candidate,multiview__lightgbm_alt,1,0.0666666666666666,15
Classical multiview,bbbp,classification,32,learner_family,extra_trees,13,0.8666666666666667,15
Classical multiview,bbbp,classification,32,learner_family,random_forest,1,0.0666666666666666,15
Classical multiview,bbbp,classification,32,learner_family,lightgbm_alt,1,0.0666666666666666,15
Classical multiview,bbbp,classification,32,representation,multiview,11,0.7333333333333333,15
Classical multiview,bbbp,classification,32,representation,rdkit2d,4,0.2666666666666666,15
Homogeneous Morgan,bbbp,classification,4,candidate,hom::order01,15,1.0,15
Homogeneous Morgan,bbbp,classification,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,bbbp,classification,4,representation,morgan512,15,1.0,15
Homogeneous Morgan,bbbp,classification,8,candidate,hom::order07,9,0.6,15
Homogeneous Morgan,bbbp,classification,8,candidate,hom::order06,6,0.4,15
Homogeneous Morgan,bbbp,classification,8,learner_family,bagging,15,1.0,15
Homogeneous Morgan,bbbp,classification,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,bbbp,classification,16,candidate,hom::order12,10,0.6666666666666666,15
Homogeneous Morgan,bbbp,classification,16,candidate,hom::order11,4,0.2666666666666666,15
Homogeneous Morgan,bbbp,classification,16,candidate,hom::order10,1,0.0666666666666666,15
Homogeneous Morgan,bbbp,classification,16,learner_family,bagging,15,1.0,15
Homogeneous Morgan,bbbp,classification,16,representation,morgan512,15,1.0,15
Homogeneous Morgan,bbbp,classification,32,candidate,hom::order12,10,0.6666666666666666,15
Homogeneous Morgan,bbbp,classification,32,candidate,hom::order11,4,0.2666666666666666,15
Homogeneous Morgan,bbbp,classification,32,candidate,hom::order10,1,0.0666666666666666,15
Homogeneous Morgan,bbbp,classification,32,learner_family,bagging,15,1.0,15
Homogeneous Morgan,bbbp,classification,32,representation,morgan512,15,1.0,15
Modern-augmented,bbbp,classification,4,candidate,maccs__linear,8,0.5333333333333333,15
Modern-augmented,bbbp,classification,4,candidate,chemberta_mtr__linear,7,0.4666666666666667,15
Modern-augmented,bbbp,classification,4,learner_family,linear,15,1.0,15
Modern-augmented,bbbp,classification,4,representation,maccs,8,0.5333333333333333,15
Modern-augmented,bbbp,classification,4,representation,chemberta_mtr,7,0.4666666666666667,15
Modern-augmented,bbbp,classification,8,candidate,multiview__linear,4,0.2666666666666666,15
Modern-augmented,bbbp,classification,8,candidate,rdkit2d__linear,4,0.2666666666666666,15
Modern-augmented,bbbp,classification,8,candidate,maccs__linear,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,candidate,molformer__linear,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,candidate,chemberta_mtr__linear,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,candidate,chemberta_mlm__linear,1,0.0666666666666666,15
Modern-augmented,bbbp,classification,8,learner_family,linear,15,1.0,15
Modern-augmented,bbbp,classification,8,representation,multiview,4,0.2666666666666666,15
Modern-augmented,bbbp,classification,8,representation,rdkit2d,4,0.2666666666666666,15
Modern-augmented,bbbp,classification,8,representation,maccs,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,representation,molformer,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,representation,chemberta_mtr,2,0.1333333333333333,15
Modern-augmented,bbbp,classification,8,representation,chemberta_mlm,1,0.0666666666666666,15
Modern-augmented,bbbp,classification,16,candidate,multiview__random_forest,12,0.8,15
Modern-augmented,bbbp,classification,16,candidate,rdkit2d__random_forest,3,0.2,15
Modern-augmented,bbbp,classification,16,learner_family,random_forest,15,1.0,15
Modern-augmented,bbbp,classification,16,representation,multiview,12,0.8,15
Modern-augmented,bbbp,classification,16,representation,rdkit2d,3,0.2,15
Modern-augmented,bbbp,classification,32,candidate,multiview__extra_trees,9,0.6,15
Modern-augmented,bbbp,classification,32,candidate,rdkit2d__extra_trees,5,0.3333333333333333,15
Modern-augmented,bbbp,classification,32,candidate,multiview__random_forest,1,0.0666666666666666,15
Modern-augmented,bbbp,classification,32,learner_family,extra_trees,14,0.9333333333333332,15
Modern-augmented,bbbp,classification,32,learner_family,random_forest,1,0.0666666666666666,15
Modern-augmented,bbbp,classification,32,representation,multiview,10,0.6666666666666666,15
Modern-augmented,bbbp,classification,32,representation,rdkit2d,5,0.3333333333333333,15
Classical multiview,clintox,classification,4,candidate,maccs__linear,13,0.8666666666666667,15
Classical multiview,clintox,classification,4,candidate,rdkit2d__linear,1,0.0666666666666666,15
Classical multiview,clintox,classification,4,candidate,multiview__linear,1,0.0666666666666666,15
Classical multiview,clintox,classification,4,learner_family,linear,15,1.0,15
Classical multiview,clintox,classification,4,representation,maccs,13,0.8666666666666667,15
Classical multiview,clintox,classification,4,representation,rdkit2d,1,0.0666666666666666,15
Classical multiview,clintox,classification,4,representation,multiview,1,0.0666666666666666,15
Classical multiview,clintox,classification,8,candidate,maccs__random_forest,7,0.4666666666666667,15
Classical multiview,clintox,classification,8,candidate,multiview__random_forest,5,0.3333333333333333,15
Classical multiview,clintox,classification,8,candidate,rdkit2d__random_forest,3,0.2,15
Classical multiview,clintox,classification,8,learner_family,random_forest,15,1.0,15
Classical multiview,clintox,classification,8,representation,maccs,7,0.4666666666666667,15
Classical multiview,clintox,classification,8,representation,multiview,5,0.3333333333333333,15
Classical multiview,clintox,classification,8,representation,rdkit2d,3,0.2,15
Classical multiview,clintox,classification,16,candidate,multiview__lightgbm,13,0.8666666666666667,15
Classical multiview,clintox,classification,16,candidate,maccs__lightgbm,2,0.1333333333333333,15
Classical multiview,clintox,classification,16,learner_family,lightgbm,15,1.0,15
Classical multiview,clintox,classification,16,representation,multiview,13,0.8666666666666667,15
Classical multiview,clintox,classification,16,representation,maccs,2,0.1333333333333333,15
Classical multiview,clintox,classification,32,candidate,multiview__lightgbm,6,0.4,15
Classical multiview,clintox,classification,32,candidate,multiview__xgboost,3,0.2,15
Classical multiview,clintox,classification,32,candidate,maccs__xgboost,3,0.2,15
Classical multiview,clintox,classification,32,candidate,maccs__lightgbm,2,0.1333333333333333,15
Classical multiview,clintox,classification,32,candidate,multiview__lightgbm_alt,1,0.0666666666666666,15
Classical multiview,clintox,classification,32,learner_family,lightgbm,8,0.5333333333333333,15
Classical multiview,clintox,classification,32,learner_family,xgboost,6,0.4,15
Classical multiview,clintox,classification,32,learner_family,lightgbm_alt,1,0.0666666666666666,15
Classical multiview,clintox,classification,32,representation,multiview,10,0.6666666666666666,15
Classical multiview,clintox,classification,32,representation,maccs,5,0.3333333333333333,15
Homogeneous Morgan,clintox,classification,4,candidate,hom::order01,15,1.0,15
Homogeneous Morgan,clintox,classification,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,clintox,classification,4,representation,morgan512,15,1.0,15
Homogeneous Morgan,clintox,classification,8,candidate,hom::order06,8,0.5333333333333333,15
Homogeneous Morgan,clintox,classification,8,candidate,hom::order07,7,0.4666666666666667,15
Homogeneous Morgan,clintox,classification,8,learner_family,bagging,15,1.0,15
Homogeneous Morgan,clintox,classification,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order06,3,0.2,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order10,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order12,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order11,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order09,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order07,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order08,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order15,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order13,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,learner_family,bagging,13,0.8666666666666667,15
Homogeneous Morgan,clintox,classification,16,learner_family,boosting,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,representation,morgan512,15,1.0,15
